variant,flow_type,visits,conversions,conversion_rate,total_sale_amount,total_expected_commission
a,INAPP_DEFAULT,377716,48607,12.868663228457358,27371536.0832,2100034.94805232
b,EXTERNAL_HEADER,5872,681,11.59741144414169,334861.5,17525.661851
b,EXTERNAL_LOGIN,3535,397,11.23055162659123,126550.3792,5878.12348454
b,INAPP_DEFAULT,376350,47554,12.635578583765112,24886469.646,1989408.08617782
c,EXTERNAL_CONFIG,3896,460,11.806981519507186,350339.544,17872.184247999998
c,EXTERNAL_LOGIN,3461,350,10.112684195319272,93542.8768,3781.09669
c,INAPP_DEFAULT,376513,48068,12.766624259985711,26790028.8962,2091264.8753667
